,Location,Type,P0,P1,Length,loc_id,idx,L
28,E09/E10,‘§÷∆¡∫AA,"(573352.1902778998, 785107.4887361379)","(573396.4682141357, 785101.5833773257)",44.67,5,0,45
29,E09/E10,‘§÷∆¡∫AA,"(573351.7738489709, 785104.3663833475)","(573396.0517852068, 785098.4610245354)",44.67,5,1,45
30,E09/E10,‘§÷∆¡∫AA,"(573351.3574200419, 785101.2440305573)","(573395.6353562778, 785095.3386717452)",44.67,5,2,45
31,E09/E10,‘§÷∆¡∫AA,"(573350.940991113, 785098.121677767)","(573395.2189273488, 785092.2163189547)",44.67,5,3,45
32,E09/E10,‘§÷∆¡∫AA,"(573350.5245621841, 785094.9993249766)","(573394.8024984199, 785089.0939661645)",44.67,5,4,45
33,E09/E10,‘§÷∆¡∫AA,"(573350.108133255, 785091.8769721864)","(573394.386069491, 785085.971613374)",44.67,5,5,45
34,E09/E10,‘§÷∆¡∫AA,"(573349.6917043261, 785088.754619396)","(573393.969640562, 785082.8492605838)",44.67,5,6,45
35,E10/E11,‘§÷∆¡∫MM,"(573396.9638256897, 785101.5172774957)","(573441.0732539973, 785095.6343926258)",44.5,6,0,45
36,E10/E11,‘§÷∆¡∫MM,"(573396.5473967607, 785098.3949247055)","(573440.6568250683, 785092.5120398354)",44.5,6,1,45
37,E10/E11,‘§÷∆¡∫MM,"(573396.1309678318, 785095.272571915)","(573440.2403961393, 785089.3896870451)",44.5,6,2,45
38,E10/E11,‘§÷∆¡∫MM,"(573395.7145389029, 785092.1502191247)","(573439.8239672104, 785086.2673342549)",44.5,6,3,45
39,E10/E11,‘§÷∆¡∫MM,"(573395.2981099739, 785089.0278663344)","(573439.4075382814, 785083.1449814645)",44.5,6,4,45
40,E10/E11,‘§÷∆¡∫MM,"(573394.881681045, 785085.9055135441)","(573438.9911093524, 785080.0226286742)",44.5,6,5,45
41,E10/E11,‘§÷∆¡∫MM,"(573394.4652521159, 785082.7831607538)","(573438.5746804235, 785076.9002758838)",44.5,6,6,45
42,E11/E12,‘§÷∆¡∫MM,"(573441.5688655511, 785095.5682927959)","(573485.6782938587, 785089.6854079259)",44.5,8,0,45
43,E11/E12,‘§÷∆¡∫MM,"(573441.1524366223, 785092.4459400054)","(573485.2618649298, 785086.5630551355)",44.5,8,1,45
44,E11/E12,‘§÷∆¡∫MM,"(573440.7360076932, 785089.3235872153)","(573484.8454360007, 785083.4407023453)",44.5,8,2,45
45,E11/E12,‘§÷∆¡∫MM,"(573440.3195787643, 785086.2012344248)","(573484.4290070718, 785080.3183495549)",44.5,8,3,45
46,E11/E12,‘§÷∆¡∫MM,"(573439.9031498353, 785083.0788816345)","(573484.0125781428, 785077.1959967646)",44.5,8,4,45
47,E11/E12,‘§÷∆¡∫MM,"(573439.4867209063, 785079.9565288442)","(573483.5961492138, 785074.0736439743)",44.5,8,5,45
48,E11/E12,‘§÷∆¡∫MM,"(573439.0702919774, 785076.8341760539)","(573483.1797202849, 785070.951291184)",44.5,8,6,45
49,E12/E13,‘§÷∆¡∫MM,"(573486.1739054126, 785089.6193080959)","(573530.28333372, 785083.736423226)",44.5,9,0,45
50,E12/E13,‘§÷∆¡∫MM,"(573485.7574764836, 785086.4969553057)","(573529.8669047911, 785080.6140704358)",44.5,9,1,45
51,E12/E13,‘§÷∆¡∫MM,"(573485.3410475547, 785083.3746025153)","(573529.4504758622, 785077.4917176453)",44.5,9,2,45
52,E12/E13,‘§÷∆¡∫MM,"(573484.9246186257, 785080.252249725)","(573529.0340469332, 785074.369364855)",44.5,9,3,45
53,E12/E13,‘§÷∆¡∫MM,"(573484.5081896967, 785077.1298969346)","(573528.6176180043, 785071.2470120646)",44.5,9,4,45
54,E12/E13,‘§÷∆¡∫MM,"(573484.0917607679, 785074.0075441443)","(573528.2011890752, 785068.1246592744)",44.5,9,5,45
55,E12/E13,‘§÷∆¡∫MM,"(573483.6753318388, 785070.8851913539)","(573527.7847601463, 785065.0023064842)",44.5,9,6,45
56,E13/EA,‘§÷∆¡∫AA,"(573530.778945274, 785083.670323396)","(573565.1446504296, 785079.0869611839)",34.67,10,0,35
57,E13/EA,‘§÷∆¡∫AA,"(573530.3625163449, 785080.5479706057)","(573564.7282215008, 785075.9646083935)",34.67,10,1,35
58,E13/EA,‘§÷∆¡∫AA,"(573529.946087416, 785077.4256178153)","(573564.3117925717, 785072.8422556032)",34.67,10,2,35
59,E13/EA,‘§÷∆¡∫AA,"(573529.5296584871, 785074.303265025)","(573563.8953636428, 785069.7199028129)",34.67,10,3,35
60,E13/EA,‘§÷∆¡∫AA,"(573529.1132295581, 785071.1809122348)","(573563.4789347138, 785066.5975500226)",34.67,10,4,35
61,E13/EA,‘§÷∆¡∫AA,"(573528.6968006291, 785068.0585594443)","(573563.0625057848, 785063.4751972322)",34.67,10,5,35
62,E13/EA,‘§÷∆¡∫AA,"(573528.2803717002, 785064.936206654)","(573562.646076856, 785060.352844442)",34.67,10,6,35
63,W14/W13,‘§÷∆¡∫AA,"(571397.7434209038, 785604.5941961975)","(571440.7692947062, 785592.5865701406)",44.67,11,0,45
64,W14/W13,‘§÷∆¡∫AA,"(571396.950439107, 785601.7527740416)","(571439.9763129095, 785589.7451479842)",44.67,11,1,45
65,W14/W13,‘§÷∆¡∫AA,"(571396.1574573101, 785598.9113518852)","(571439.1833311126, 785586.9037258284)",44.67,11,2,45
66,W14/W13,‘§÷∆¡∫AA,"(571395.3644755133, 785596.0699297289)","(571438.3903493157, 785584.0623036723)",44.67,11,3,45
67,W14/W13,‘§÷∆¡∫AA,"(571394.5714937164, 785593.2285075727)","(571437.5973675188, 785581.2208815158)",44.67,11,4,45
68,W14/W13,‘§÷∆¡∫AA,"(571393.7785119195, 785590.3870854165)","(571436.8043857221, 785578.3794593595)",44.67,11,5,45
69,W13/W12,‘§÷∆¡∫MM,"(571441.2508916816, 785592.4521664461)","(571484.1130225128, 785580.4902376466)",44.5,12,0,45
70,W13/W12,‘§÷∆¡∫MM,"(571440.4579098847, 785589.6107442899)","(571483.3200407156, 785577.6488154905)",44.5,12,1,45
71,W13/W12,‘§÷∆¡∫MM,"(571439.664928088, 785586.7693221341)","(571482.527058919, 785574.8073933343)",44.5,12,2,45
72,W13/W12,‘§÷∆¡∫MM,"(571438.8719462911, 785583.9278999778)","(571481.7340771221, 785571.965971178)",44.5,12,3,45
73,W13/W12,‘§÷∆¡∫MM,"(571438.078964494, 785581.0864778215)","(571480.9410953252, 785569.124549022)",44.5,12,4,45
74,W13/W12,‘§÷∆¡∫MM,"(571437.285982697, 785578.2450556651)","(571480.1481135284, 785566.2831268654)",44.5,12,5,45
75,W12/W11,‘§÷∆¡∫MM,"(571484.5946194901, 785580.355833952)","(571527.4567503199, 785568.393905148)",44.5,13,0,45
76,W12/W11,‘§÷∆¡∫MM,"(571483.8016376931, 785577.5144117957)","(571526.6637685229, 785565.5524829917)",44.5,13,1,45
77,W12/W11,‘§÷∆¡∫MM,"(571483.008655896, 785574.6729896395)","(571525.8707867259, 785562.7110608359)",44.5,13,2,45
78,W12/W11,‘§÷∆¡∫MM,"(571482.2156740988, 785571.8315674833)","(571525.0778049288, 785559.8696386795)",44.5,13,3,45
79,W12/W11,‘§÷∆¡∫MM,"(571481.4226923018, 785568.9901453273)","(571524.2848231317, 785557.0282165234)",44.5,13,4,45
80,W12/W11,‘§÷∆¡∫MM,"(571480.6297105046, 785566.1487231707)","(571523.4918413347, 785554.1867943672)",44.5,13,5,45
81,W11/W10,‘§÷∆¡∫MM,"(571527.9383472945, 785568.2595014538)","(571570.8004781253, 785556.2975726534)",44.5,14,0,45
82,W11/W10,‘§÷∆¡∫MM,"(571527.1453654976, 785565.4180792976)","(571570.0074963283, 785553.4561504971)",44.5,14,1,45
83,W11/W10,‘§÷∆¡∫MM,"(571526.3523837005, 785562.5766571417)","(571569.2145145315, 785550.614728341)",44.5,14,2,45
