t(s)	a(g)
75.630000000	0.006760000
75.640000000	0.008620000
75.650000000	0.008470000
75.660000000	0.008260000
75.670000000	0.009680000
75.680000000	0.010350000
75.690000000	0.009340000
75.700000000	0.007110000
75.710000000	0.004260000
75.720000000	0.002510000
75.730000000	0.002350000
75.740000000	0.003390000
75.750000000	0.004980000
75.760000000	0.006790000
75.770000000	0.008270000
75.780000000	0.009380000
75.790000000	0.010360000
75.800000000	0.010460000
75.810000000	0.008880000
75.820000000	0.007850000
75.830000000	0.008340000
75.840000000	0.008620000
75.850000000	0.008200000
75.860000000	0.007810000
75.870000000	0.007140000
75.880000000	0.006460000
75.890000000	0.007000000
75.900000000	0.008890000
75.910000000	0.011200000
75.920000000	0.013560000
75.930000000	0.014940000
75.940000000	0.015460000
75.950000000	0.015250000
75.960000000	0.013570000
75.970000000	0.011880000
75.980000000	0.010680000
75.990000000	0.010120000
76.000000000	0.010470000
76.010000000	0.011000000
76.020000000	0.011240000
76.030000000	0.011060000
76.040000000	0.012030000
76.050000000	0.013720000
76.060000000	0.014890000
76.070000000	0.015390000
76.080000000	0.015440000
76.090000000	0.014730000
76.100000000	0.014460000
76.110000000	0.015650000
76.120000000	0.015320000
76.130000000	0.012880000
76.140000000	0.010740000
76.150000000	0.010170000
76.160000000	0.010950000
76.170000000	0.011330000
76.180000000	0.010110000
76.190000000	0.008650000
76.200000000	0.008180000
76.210000000	0.008300000
76.220000000	0.007990000
76.230000000	0.007480000
76.240000000	0.005810000
76.250000000	0.002310000
76.260000000	-0.001150000
76.270000000	-0.002670000
76.280000000	-0.001880000
76.290000000	-0.000300000
76.300000000	-0.000420000
76.310000000	-0.000900000
76.320000000	-0.000520000
76.330000000	0.000250000
76.340000000	0.000710000
76.350000000	0.000960000
76.360000000	0.000320000
76.370000000	-0.001410000
76.380000000	-0.002200000
76.390000000	-0.001540000
76.400000000	-0.000400000
76.410000000	0.000100000
76.420000000	-0.000410000
76.430000000	-0.000140000
76.440000000	0.000940000
76.450000000	0.002010000
76.460000000	0.002310000
76.470000000	0.001610000
76.480000000	0.000870000
76.490000000	-0.000090000
76.500000000	-0.000020000
76.510000000	0.001600000
76.520000000	0.002610000
76.530000000	0.003120000
76.540000000	0.003900000
76.550000000	0.004700000
76.560000000	0.004330000
76.570000000	0.003990000
76.580000000	0.004220000
76.590000000	0.003670000
76.600000000	0.003230000
76.610000000	0.002940000
76.620000000	0.003450000
76.630000000	0.004770000
76.640000000	0.005950000
76.650000000	0.005510000
76.660000000	0.003820000
76.670000000	0.002470000
76.680000000	0.001960000
76.690000000	0.003110000
76.700000000	0.004230000
76.710000000	0.003710000
76.720000000	0.001850000
76.730000000	-0.000150000
76.740000000	-0.000300000
76.750000000	0.000220000
76.760000000	-0.000450000
76.770000000	-0.001700000
76.780000000	-0.002780000
76.790000000	-0.002940000
76.800000000	-0.001730000
76.810000000	-0.000770000
76.820000000	-0.001370000
76.830000000	-0.002710000
76.840000000	-0.004050000
76.850000000	-0.003490000
76.860000000	-0.000670000
76.870000000	0.001490000
76.880000000	0.001190000
76.890000000	-0.000090000
76.900000000	-0.000050000
76.910000000	0.001450000
76.920000000	0.002040000
76.930000000	0.000280000
76.940000000	-0.002540000
76.950000000	-0.004450000
76.960000000	-0.003850000
76.970000000	-0.002840000
76.980000000	-0.003030000
76.990000000	-0.004420000
77.000000000	-0.005430000
77.010000000	-0.003840000
77.020000000	-0.000330000
77.030000000	0.003080000
77.040000000	0.003410000
77.050000000	0.001030000
77.060000000	-0.000650000
77.070000000	0.000640000
77.080000000	0.004300000
77.090000000	0.007240000
77.100000000	0.007970000
77.110000000	0.007100000
77.120000000	0.007410000
77.130000000	0.009550000
77.140000000	0.011800000
77.150000000	0.012990000
77.160000000	0.012200000
77.170000000	0.011210000
77.180000000	0.010580000
77.190000000	0.010210000
77.200000000	0.009170000
77.210000000	0.007040000
77.220000000	0.004560000
77.230000000	0.003290000
77.240000000	0.002970000
77.250000000	0.002650000
77.260000000	0.001760000
77.270000000	0.000240000
77.280000000	-0.000410000
