T(s)	Sa(g)
0	1.745E-01
0.020	1.811E-01
0.030	2.022E-01
0.050	2.752E-01
0.075	3.557E-01
0.10	4.032E-01
0.15	4.355E-01
0.20	4.241E-01
0.25	3.936E-01
0.30	3.546E-01
0.40	2.895E-01
0.50	2.352E-01
0.75	1.566E-01
0.90	1.259E-01
1.0	1.133E-01
1.5	7.556E-02
2.0	5.667E-02
3.0	3.778E-02
4.0	2.833E-02
5.0	2.267E-02
7.5	1.511E-02
10.0	1.133E-02
