T(s)	Sa(g)
0	3.237E-01
0.020	3.367E-01
0.030	3.748E-01
0.050	5.075E-01
0.075	6.693E-01
0.10	7.615E-01
0.15	8.279E-01
0.20	8.163E-01
0.25	7.699E-01
0.30	6.979E-01
0.40	5.719E-01
0.50	4.725E-01
0.75	3.148E-01
1.0	2.220E-01
1.5	1.460E-01
2.0	1.095E-01
3.0	7.300E-02
4.0	5.475E-02
5.0	4.380E-02
7.5	2.920E-02
10.0	2.190E-02
